model_name,as_of_date,metric_name,metric_value
account_health_score,2025-12-31,auc_holdout,0.7613135980091145
account_health_score,2025-12-31,importance_pct_usage_trend,31.996463252274044
account_health_score,2025-12-31,importance_pct_ticket_volume_severity,27.240150529948583
account_health_score,2025-12-31,importance_pct_login_frequency,6.030005029442
account_health_score,2025-12-31,importance_pct_am_sentiment,34.733381188335365
account_health_score,2025-12-31,precision_high_tier,0.42613636363636365
account_health_score,2025-12-31,recall_high_tier,0.4132231404958678
account_health_score,2025-12-31,f1_high_tier,0.4195804195804196
account_health_score,2025-12-31,true_positive_high_tier,150
account_health_score,2025-12-31,false_positive_high_tier,202
account_health_score,2025-12-31,true_negative_high_tier,1195
account_health_score,2025-12-31,false_negative_high_tier,213
account_health_score,2025-12-31,mean_predicted_probability,0.4431155829365224
account_health_score,2025-12-31,actual_base_rate,0.20625
account_health_score,2025-12-31,calibration_gap,0.23686558293652243
segment_migration_analysis,2025-12-31,migration_count_smb_to_commercial,437.0
segment_migration_analysis,2025-12-31,migration_rate_smb_to_commercial,0.10913404507710557
segment_migration_analysis,2025-12-31,migration_count_commercial_to_enterprise,65.0
segment_migration_analysis,2025-12-31,migration_rate_commercial_to_enterprise,0.10010266940451745
segment_migration_analysis,2025-12-31,pct_firmographic_rescore_overall,0.30284301606922126
segment_migration_analysis,2025-12-31,pct_firmographic_rescore_smb_to_commercial,0.2894736842105263
segment_migration_analysis,2025-12-31,pct_firmographic_rescore_commercial_to_enterprise,0.41379310344827586
segment_migration_analysis,2025-12-31,graduated_revenue_mrr_total,1528898.75
segment_migration_analysis,2025-12-31,graduated_revenue_mrr_smb_to_commercial,760647.1
segment_migration_analysis,2025-12-31,graduated_revenue_mrr_commercial_to_enterprise,768251.6499999999
segment_migration_analysis,2025-12-31,median_days_in_prior_segment_smb_to_commercial,297.0
segment_migration_analysis,2025-12-31,median_days_in_prior_segment_commercial_to_enterprise,212.0
segment_migration_analysis,2025-12-31,graduated_revenue_reconciliation_max_abs_diff_usd,2.9103830456733704e-11
variance_diagnostic_engine,2025-11-30,synthetic_scenarios_total,5.0
variance_diagnostic_engine,2025-11-30,synthetic_scenarios_passed,5.0
variance_diagnostic_engine,2025-11-30,variance_threshold,0.08
variance_diagnostic_engine,2025-11-30,layer1_nodes_total,11.0
variance_diagnostic_engine,2025-11-30,layer1_nodes_plan_comparable,8.0
variance_diagnostic_engine,2025-11-30,layer1_nodes_actual_not_computable,2.0
variance_diagnostic_engine,2025-11-30,layer1_nodes_breaching_threshold,7.0
variance_diagnostic_engine,2025-11-30,layer2_siblings_in_tree,26.0
variance_diagnostic_engine,2025-11-30,layer2_siblings_computable,14.0
variance_diagnostic_engine,2025-11-30,drilldowns_with_genuine_sibling_comparison,5.0
variance_diagnostic_engine,2025-12-31,synthetic_scenarios_total,5.0
variance_diagnostic_engine,2025-12-31,synthetic_scenarios_passed,5.0
variance_diagnostic_engine,2025-12-31,variance_threshold,0.08
variance_diagnostic_engine,2025-12-31,layer1_nodes_total,11.0
variance_diagnostic_engine,2025-12-31,layer1_nodes_plan_comparable,8.0
variance_diagnostic_engine,2025-12-31,layer1_nodes_actual_not_computable,2.0
variance_diagnostic_engine,2025-12-31,layer1_nodes_breaching_threshold,7.0
variance_diagnostic_engine,2025-12-31,layer2_siblings_in_tree,26.0
